magnitude,cdi,mmi,alert,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,continent,country
7.0,9,7,green,762,us,0,6.278,12.0,mww,48.0,-2.6286,138.528,,Indonesia
6.5,3,5,,654,us,247,0.0,25.5,mwc,14.0,-16.527,176.989,,
7.1,3,4,green,777,us,98,2.812,56.0,mww,35.981,-23.0622,170.456,,
6.9,2,3,green,733,us,0,6.012,19.0,mww,414.5,-23.2593,-178.804,,
7.0,8,5,green,756,us,116,1.789,22.0,mww,22.065,-30.1147,-176.112,,
6.5,5,5,green,652,us,0,1.549,9.0,mww,35.0,2.2999,127.056,,Indonesia
6.5,1,5,green,651,us,0,17.654,23.0,mww,17.0,-54.2189,2.1628,,
7.8,0,7,,936,us,0,0.0,0.0,mwb,167.3,-22.101,-176.772,,
6.8,0,6,,711,us,336,0.0,0.0,mwc,16.0,-4.11,127.394,,Indonesia
7.1,0,6,,776,us,0,0.0,0.0,mwc,33.0,12.614,125.154,,Philippines
6.9,3,5,,734,us,374,0.0,24.1,mwb,25.0,2.872,127.464,,Indonesia
6.7,5,6,green,692,us,0,1.239,12.0,mww,31.0,-5.375,151.771,,Papua New Guinea
6.5,0,6,green,650,us,264,0.0,16.6,mww,10.0,-3.898,152.127,,Papua New Guinea
6.6,6,7,,753,us,295,0.0,52.8,mwc,22.0,-38.067,-73.31,South America,Chile
6.8,7,7,,1441,uw,67,0.0,31.0,md,51.798,47.149,-122.727,North America,United States of America
6.5,6,7,,698,us,390,0.0,17.7,mwc,27.0,-19.394,-70.321,South America,Chile
7.3,8,6,yellow,1570,us,0,1.822,15.0,mww,146.82,10.7731,-62.9019,,Venezuela
6.5,6,5,,721,us,529,0.0,20.5,mwb,224.6,36.357,71.093,Asia,Afghanistan
7.6,3,7,,893,us,567,0.0,33.5,mww,17.0,-29.539,-176.34,,
6.8,0,7,green,711,us,400,0.0,17.5,mww,12.0,-10.838,165.969,,Solomon Islands
6.6,5,4,green,704,us,0,3.773,37.0,mww,10.0,-49.4837,164.016,,
7.1,9,7,green,846,us,0,1.273,25.0,mww,55.14,6.4547,126.742,,
6.5,0,7,,650,us,428,0.0,0.0,mwc,10.0,33.901,139.376,,Japan
6.9,6,9,,773,us,410,0.0,14.9,mwc,17.0,33.165,96.548,Asia,People's Republic of China
6.5,0,3,,650,pt,23,0.0,208.8,Mi,37.0,52.502,-168.08,,
6.7,5,6,,696,us,543,0.0,15.1,mwc,25.0,-2.245,99.808,,Indonesia
7.0,7,7,green,755,us,0,0.616,14.0,mww,24.0,-16.0429,167.379,,Vanuatu
7.1,0,7,,776,us,257,0.0,0.0,mwc,85.7,13.088,144.619,,United States of America
6.6,7,7,green,672,us,445,0.0,11.0,mww,13.0,-3.214,142.542,,Papua New Guinea
6.6,0,4,green,670,us,0,12.896,19.0,mww,16.0,-60.2152,-26.5801,,United Kingdom of Great Britain and Northern Ireland (the)
7.3,8,7,green,921,us,0,3.713,19.0,mww,165.49,-7.5924,127.581,,Indonesia
7.0,4,7,,771,us,929,0.0,23.9,mwb,39.0,43.006,145.119,Asia,Japan
6.7,0,6,green,691,us,387,0.0,26.5,mww,11.0,-10.997,165.655,,Solomon Islands
6.5,3,4,green,669,us,0,1.611,63.0,mww,10.0,49.2586,-129.412,,
6.6,3,3,green,677,us,0,2.022,16.0,mww,614.0,-4.8626,108.163,,Indonesia
7.7,8,7,green,918,us,0,3.564,13.0,mww,10.0,54.4434,168.857,,
6.9,6,7,,847,us,474,0.0,46.5,mww,24.0,-14.438,-75.966,South America,Peru
6.7,5,5,green,776,us,0,1.319,19.0,mww,10.0,-39.3264,-74.9067,,
7.5,0,7,,865,us,0,0.0,0.0,mwc,33.0,-16.423,168.214,,Vanuatu
7.3,5,5,,972,us,550,0.0,17.4,mww,32.0,38.435,142.842,,
6.6,0,7,,670,us,309,0.0,25.0,mwc,10.5,-2.329,136.484,,Indonesia
6.7,5,6,,753,us,369,0.0,14.9,mwc,20.0,-1.479,99.49,,Indonesia
6.8,5,4,green,716,us,0,1.816,34.0,mww,22.0,-4.3724,101.095,,Indonesia
6.7,8,8,green,776,us,0,2.043,22.0,mww,10.0,51.2407,100.443,Asia,Mongolia
7.0,7,7,,1000,us,474,0.0,95.9,mww,13.0,28.696,-113.104,North America,Mexico
7.0,5,9,,891,us,412,0.0,23.2,mwb,11.0,-21.324,33.583,Africa,Mozambique
7.0,6,4,green,763,us,0,2.705,26.0,mww,10.0,-22.5732,170.349,,
6.7,5,6,,692,us,533,0.0,15.6,mwc,32.0,-5.881,150.982,,Papua New Guinea
7.3,0,7,,820,us,0,0.0,0.0,mwc,90.1,-12.853,166.697,,
6.7,0,5,green,691,us,0,6.713,45.0,mww,18.0,-14.9831,-175.51,,
6.5,6,7,yellow,656,us,0,0.135,58.0,mww,10.0,-42.3205,173.669,,New Zealand
6.5,7,7,green,756,us,178,0.43,54.0,mww,10.0,23.029,121.348,Asia,Taiwan
6.7,4,6,green,700,us,0,2.11,16.0,mww,223.0,-23.1125,-66.688,South America,Argentina
6.5,4,1,green,651,us,0,5.139,18.0,mww,576.0,-25.415,178.199,,
6.6,0,10,,670,us,0,0.0,0.0,mw,11.1,27.291,100.276,Asia,People's Republic of China
7.1,0,7,,776,us,426,0.0,0.0,mwc,35.0,1.271,126.249,,Indonesia
6.7,0,6,,691,us,233,0.0,21.5,mwb,10.0,-11.128,162.208,,
6.5,9,8,yellow,731,us,0,0.778,27.0,mww,13.0,5.2834,96.1678,,Indonesia
6.9,5,5,green,904,us,562,0.0,23.7,mww,145.0,1.135,-77.393,South America,Colombia
6.7,8,9,,1481,hv,43,0.0,124.0,md,38.182,19.877,-155.935,,United States of America
7.6,6,5,green,957,us,0,3.287,10.0,mww,606.21,-10.5372,-70.9437,South America,Peru
6.7,7,7,yellow,1016,us,0,0.727,13.0,mww,22.91,27.7711,86.0173,Asia,Nepal
6.5,0,4,,650,us,0,0.0,0.0,mwc,226.5,43.207,138.92,,
6.6,9,7,yellow,780,us,0,0.646,24.0,mww,15.0,6.7567,125.008,,Philippines
6.9,4,3,green,749,us,0,2.267,20.0,mww,624.0,-6.6704,123.493,,Indonesia
6.5,0,6,,650,us,316,0.0,0.0,mwc,24.0,13.626,-90.774,,
6.6,7,6,green,672,us,68,5.293,34.0,mww,30.0,-32.6922,-178.959,,
6.6,1,5,green,670,us,0,3.246,12.0,mww,23.0,-6.5108,154.46,,
6.6,0,6,,670,us,0,0.0,0.0,mwc,61.4,-5.147,151.714,,Papua New Guinea
7.7,9,6,yellow,1812,us,0,1.657,26.0,mww,14.86,19.4193,-78.756,,
6.7,0,7,,691,us,370,0.0,15.4,mww,16.0,-1.617,134.276,,Indonesia
6.5,0,4,green,650,us,0,3.997,14.0,mww,187.0,-13.8633,167.249,,Vanuatu
6.5,4,6,,654,us,429,0.0,28.3,mwc,22.0,-2.405,99.931,,Indonesia
8.3,9,8,orange,1960,us,0,0.684,19.0,mww,22.44,-31.5729,-71.6744,,Chile
6.5,4,4,green,656,us,97,1.622,33.0,mww,209.976,-23.4797,-66.5108,South America,Argentina
6.5,0,6,,650,us,0,0.0,0.0,mwc,70.0,18.684,-101.604,North America,Mexico
7.9,8,9,,1750,ak,0,0.0,0.0,mw,4.2,63.5141,-147.453,North America,United States of America
6.5,0,5,,650,us,486,0.0,0.0,mwc,125.1,-21.663,-68.329,South America,Chile
7.1,9,8,orange,1092,us,0,3.144,12.0,mww,19.04,9.8796,124.117,,Philippines
7.2,5,6,,804,us,327,0.0,11.7,mwc,31.0,-13.698,166.643,,Vanuatu
6.6,0,7,,670,us,0,0.0,0.0,mwc,34.8,-30.985,-71.41,South America,Chile
7.3,5,5,green,833,us,149,1.865,21.0,mww,37.0,-19.2918,-172.129,,
6.6,2,4,green,672,us,0,1.596,33.0,mww,43.21,2.258,126.758,,Indonesia
6.9,9,6,green,814,us,0,1.636,14.0,mww,26.0,5.5043,125.066,,Philippines
6.7,0,6,,691,us,422,0.0,0.0,mwc,24.0,-17.745,-71.649,,Peru
7.0,0,6,,754,us,0,0.0,0.0,mwc,123.1,-15.145,167.375,,Vanuatu
6.8,0,7,,711,us,0,0.0,0.0,mwc,87.2,-16.66,-72.662,South America,Peru
6.7,0,8,,691,us,390,0.0,0.0,mwc,10.0,35.456,133.134,Asia,Japan
6.9,4,6,green,875,us,0,2.839,23.0,mww,49.0,-7.2822,104.791,,
6.9,6,6,yellow,903,us,0,3.001,14.0,mww,136.0,23.0944,94.8654,Asia,Myanmar
6.6,5,4,,765,us,344,0.0,22.6,mwc,204.8,36.419,70.743,Asia,Afghanistan
7.6,8,8,,1639,us,498,0.0,14.0,mwc,81.0,-0.72,99.867,,Indonesia
6.8,0,6,,711,us,545,0.0,15.7,mwb,36.0,-10.951,162.161,,Solomon Islands
6.5,7,6,yellow,655,us,104,0.266,30.0,mww,105.631,52.7772,158.484,Asia,Russian Federation (the)
6.6,9,8,yellow,784,us,0,5.128,14.0,mww,10.0,12.0065,124.13,,Philippines
6.5,0,5,green,650,us,0,2.045,16.0,mww,6.43,-9.3293,157.877,,
6.9,6,4,green,742,us,0,2.495,13.0,mww,12.0,-19.3733,176.052,,
6.8,5,4,,779,us,664,0.0,18.2,mwb,350.4,36.808,134.85,,
6.5,0,8,,650,us,0,0.0,0.0,mwc,10.0,37.661,57.291,Asia,Iran
6.7,0,3,green,691,us,0,2.705,17.0,mww,461.0,52.8549,153.243,,
7.0,7,5,green,802,us,0,2.821,15.0,mww,80.0,5.0074,127.517,,
6.9,7,8,,888,us,654,0.0,17.1,mwc,7.8,39.03,140.881,Asia,Japan
6.6,0,4,green,670,us,0,2.679,31.0,mww,10.0,-22.0629,169.733,,
7.2,4,7,green,827,us,0,1.116,18.0,mww,22.0,38.2107,72.7797,Asia,Tajikistan
6.6,0,9,,670,us,552,0.0,44.8,mwc,10.0,28.995,58.311,Asia,Iran
6.7,6,5,,731,us,695,0.0,20.9,mwb,34.0,0.587,98.459,,Indonesia
7.5,0,6,,865,us,0,0.0,0.0,mw,10.0,-9.593,-79.587,,Peru
8.0,7,7,,1013,us,626,0.0,20.7,mwc,55.0,-20.187,-174.123,,
7.6,9,9,,1267,us,724,0.0,21.1,mwc,26.0,34.539,73.588,Asia,Pakistan
7.2,8,7,,1054,us,397,0.0,30.1,mww,24.0,-38.355,-73.326,South America,Chile
7.3,0,7,,820,us,0,0.0,0.0,mwc,26.3,51.478,-176.847,North America,United States of America
6.9,9,9,yellow,887,us,215,0.401,34.0,mww,10.0,23.1444,121.307,Asia,Taiwan
6.9,0,5,,732,us,0,0.0,0.0,mwc,56.6,52.056,159.52,,
7.2,7,7,green,809,us,0,1.504,38.0,mww,18.98,-0.5858,128.034,,Indonesia
6.5,0,4,,650,us,0,0.0,0.0,mwc,228.4,36.522,71.24,Asia,Afghanistan
6.7,6,6,yellow,909,us,0,0.289,43.0,mww,66.0,14.6802,-92.4527,,Mexico
7.0,5,3,green,818,us,131,1.881,31.0,mww,594.028,-6.0255,112.033,,Indonesia
9.1,9,8,,2184,official,541,0.0,9.5,mww,29.0,38.297,142.373,,
7.6,8,8,yellow,965,us,272,3.158,12.0,mww,116.0,-6.2237,146.471,Oceania,Papua New Guinea
6.7,0,7,,691,us,0,0.0,0.0,mwc,22.0,31.885,131.468,Asia,Japan
6.9,5,7,,745,ak,0,0.0,0.0,mw,36.4,56.7744,-153.281,North America,
7.2,7,7,,1449,us,372,0.0,25.3,mww,68.0,28.777,63.951,Asia,Pakistan
8.4,0,8,,1086,official,518,0.0,0.0,mww,33.0,-16.265,-73.641,,Peru
6.7,7,7,,833,us,596,0.0,13.4,mww,12.0,51.708,95.991,Asia,Russia
6.7,5,7,green,744,us,0,1.352,21.0,mww,16.0,0.4261,-79.7899,South America,Ecuador
6.8,0,6,,711,us,444,0.0,33.8,mwb,36.0,2.908,95.592,,Indonesia
7.5,0,5,,865,us,228,0.0,30.7,mwc,280.0,-5.859,107.419,,Indonesia
7.3,8,9,red,2790,us,0,0.284,33.0,mww,19.0,34.9109,45.9592,Asia,Iran
6.8,9,7,green,737,us,128,1.783,20.0,mww,20.522,38.0726,73.2077,Asia,Tajikistan
6.8,0,9,,711,us,534,0.0,19.4,mwc,12.0,36.964,3.634,,Algeria
7.0,3,7,green,755,us,640,0.0,11.4,mww,66.0,-3.517,138.476,,Indonesia
6.9,0,6,,732,us,0,0.0,0.0,mwb,33.0,16.333,-98.216,North America,Mexico
6.9,0,4,green,732,us,0,6.393,12.0,mww,13.0,0.8295,146.169,,
6.7,3,4,green,691,us,0,1.062,55.0,mww,24.0,-21.6971,169.148,,
7.0,3,3,green,755,us,147,3.125,18.0,mww,579.0,-20.0508,-178.346,Oceania,Fiji
7.2,0,7,,798,us,0,0.0,0.0,mwb,33.0,18.219,-102.756,North America,Mexico
6.9,0,5,green,732,us,0,0.751,35.0,mww,20.0,-29.9772,-177.725,,
6.6,4,5,,675,us,529,0.0,15.7,mww,134.7,-18.685,-174.705,,Tonga
6.7,0,6,,691,us,0,0.0,0.0,mwc,49.2,31.789,131.314,Asia,Japan
7.8,0,7,,936,us,346,0.0,0.0,mwc,33.0,-5.496,151.781,,Papua New Guinea
6.9,0,6,,732,us,0,0.0,0.0,mwc,33.0,51.587,-177.668,North America,United States of America
7.5,8,8,red,2026,us,0,1.649,13.0,mww,20.0,-0.2559,119.846,,Indonesia
8.0,0,7,,985,us,254,0.0,0.0,mwc,33.0,-3.98,152.169,,Papua New Guinea
6.6,0,6,,670,us,218,0.0,0.0,mwc,33.0,-12.037,166.448,,
6.6,7,7,,822,us,586,0.0,10.1,mww,11.0,37.001,140.401,Asia,Japan
7.7,0,7,,912,us,0,0.0,0.0,mwc,33.0,-14.993,-75.675,,Peru
6.7,0,6,,691,us,282,0.0,0.0,mwc,17.0,-7.41,155.865,,Solomon Islands
7.3,7,8,,1560,us,464,0.0,27.2,mwc,19.0,16.731,-86.217,,
6.9,0,7,,732,us,0,0.0,0.0,mwc,33.0,35.345,78.133,Asia,People's Republic of China
7.3,8,6,green,830,us,0,1.402,11.0,mww,46.0,-30.6441,-178.1,,
6.6,0,6,,670,us,402,0.0,17.7,mwc,25.0,-5.437,151.84,,Papua New Guinea
6.6,2,3,,671,us,0,4.121,19.0,mww,591.0,-20.3641,-178.57,,Fiji
7.7,7,5,,947,us,357,0.0,36.8,mwc,20.0,-9.284,107.419,,
6.8,0,6,,711,us,509,0.0,30.1,mwb,147.0,-22.361,-67.895,South America,Bolivia
7.3,0,7,,820,us,390,0.0,23.0,mwb,10.0,-4.003,135.023,,Indonesia
7.3,7,6,green,932,us,0,0.918,24.0,mww,10.0,-37.596,179.544,,
6.5,6,5,green,661,us,0,4.449,10.0,mww,110.57,-4.2433,143.485,,Papua New Guinea
6.7,6,7,,696,us,277,0.0,25.6,mwb,12.0,-27.017,-71.022,,Chile
6.9,7,6,green,919,us,0,2.619,35.0,mww,43.0,38.2296,141.665,Asia,Japan
7.3,0,6,green,820,us,398,0.0,43.0,mww,11.0,-60.857,-25.07,,United Kingdom of Great Britain and Northern Ireland (the)
6.7,4,5,green,715,us,0,3.741,22.0,mww,12.0,5.7732,-78.1999,,
7.1,0,7,,776,us,372,0.0,0.0,mwb,103.0,-14.928,167.17,,Vanuatu
6.7,5,6,,731,us,481,0.0,28.6,mwc,24.0,14.423,-92.364,,Mexico
7.0,0,6,,754,us,473,0.0,30.3,mwc,31.0,2.354,128.855,,Indonesia
7.6,9,7,yellow,1165,us,0,0.23,36.0,mww,28.37,54.662,-159.675,North America,United States of America
7.2,7,5,green,876,us,144,2.494,40.0,mww,236.0,-14.8628,-70.3081,South America,Peru
6.5,7,7,yellow,656,us,0,3.909,15.0,mww,12.26,-3.4528,128.37,,Indonesia
6.6,6,7,green,723,us,0,0.636,31.0,mww,27.0,-30.2921,-71.5215,South America,Chile
7.2,0,7,,798,us,0,0.0,0.0,mwc,112.0,-4.368,-76.681,South America,Peru
6.5,6,6,green,655,us,0,0.576,22.0,mww,33.93,51.4234,-178.026,North America,United States of America
7.5,0,7,,865,us,324,0.0,0.0,mwc,33.0,6.898,126.579,,Philippines
6.8,0,7,,711,us,447,0.0,27.7,mwb,10.0,23.039,121.362,Asia,Taiwan
6.6,6,6,green,733,us,50,2.163,129.0,mww,10.0,8.8894,-77.1231,,Colombia
7.1,0,6,,776,us,550,0.0,0.0,mwc,32.8,24.279,122.179,Asia,
6.9,4,4,green,735,us,99,2.229,34.0,mww,25.0,-4.9559,100.738,,
7.5,6,6,,1425,ak,0,0.0,0.0,mw,8.7,55.228,-134.859,,
6.7,5,6,,732,us,444,0.0,53.4,mwc,23.0,-13.457,-76.677,,Peru
6.5,6,6,green,654,us,0,1.64,21.0,mww,36.0,-10.3506,161.335,,Solomon Islands
7.6,5,4,green,896,us,0,2.852,10.0,mww,620.56,-10.0598,-71.0184,South America,Peru
7.2,0,5,,798,us,643,0.0,28.4,mwc,14.0,33.07,136.618,,
7.0,7,7,,1175,us,312,0.0,16.3,mwc,46.0,-7.782,107.297,,Indonesia
6.7,3,5,,696,us,503,0.0,26.9,mwc,30.0,-1.999,100.141,,Indonesia
7.0,0,8,,754,us,0,0.0,0.0,mwc,19.9,10.598,-63.486,,Venezuela
6.5,0,7,,650,us,371,0.0,31.8,mwb,10.0,-5.562,122.129,,Indonesia
6.6,5,4,green,1120,us,0,1.405,55.0,mww,8.45,40.4535,-126.194,,
6.6,7,6,,808,us,461,0.0,18.8,mwc,20.0,-39.011,178.291,,
6.5,3,6,green,651,us,0,3.144,22.0,mww,13.0,3.8965,126.862,,Indonesia
6.5,0,6,green,650,us,0,0.735,24.0,mww,20.0,51.5573,-174.767,,
6.7,7,6,green,844,us,0,1.269,98.0,mww,11.0,-35.4758,-73.163,,
7.0,0,7,,754,ak,0,0.0,0.0,mw,43.6,57.3424,-154.347,North America,United States of America
6.6,0,7,,670,us,251,0.0,16.0,mb,10.0,-7.169,155.777,,Solomon Islands
6.9,0,6,,732,us,0,0.0,0.0,mwc,47.5,-5.978,148.82,,Papua New Guinea
6.5,0,4,,650,us,426,0.0,18.7,mwb,176.0,-13.571,167.227,,Vanuatu
6.5,0,7,,650,us,401,0.0,0.0,mwc,31.0,-4.218,152.725,,Papua New Guinea
7.1,9,9,,1096,us,693,0.0,19.7,mww,18.0,38.721,43.508,Asia,Turkey
6.6,4,4,green,673,us,0,5.086,48.0,mww,10.0,-18.5747,-175.272,,
6.5,0,2,green,650,us,0,4.765,25.0,mww,577.0,-21.9449,-179.511,,
6.5,3,5,,652,us,286,0.0,47.3,mwc,39.7,4.756,126.421,,Indonesia
6.6,0,5,,670,us,0,0.0,0.0,mwc,164.6,-8.148,-74.238,South America,Peru
6.7,5,6,,705,us,698,0.0,24.7,mwb,94.0,24.53,122.694,,
6.5,0,6,,650,us,477,0.0,20.3,mwc,34.0,-5.724,151.133,,Papua New Guinea
6.7,5,5,green,714,us,0,1.925,20.0,mww,23.0,39.8558,142.881,,
7.6,8,7,,1555,us,703,0.0,34.3,mww,35.0,10.085,-85.315,,Costa Rica
6.9,4,7,green,734,us,0,0.444,39.0,mww,29.0,52.376,-169.446,,
6.5,2,4,green,655,us,0,1.692,68.0,mww,10.0,49.297,-129.724,,
6.5,4,5,green,651,us,0,15.394,31.0,mww,10.0,0.8696,-29.7046,,
7.8,0,7,,936,us,294,0.0,0.0,mwc,30.0,-5.233,153.102,,
6.9,6,6,,941,us,645,0.0,30.6,mwc,29.0,36.501,21.67,Europe,
6.7,8,9,orange,1247,us,0,0.87,49.0,mww,10.0,38.4312,39.0609,Asia,Turkey
6.5,0,6,,650,us,0,0.0,0.0,mwc,100.8,13.986,144.901,,
6.5,3,6,green,651,us,0,1.638,25.0,mww,68.0,-10.0207,161.503,,Solomon Islands
6.5,7,6,,723,us,521,0.0,27.6,mwc,83.0,16.357,-94.304,,Mexico
6.6,4,6,green,671,us,0,2.435,16.0,mww,50.0,-2.0967,100.665,,Indonesia
7.2,3,7,green,799,us,0,0.958,17.0,mww,177.0,53.9776,158.546,Asia,Russia
6.5,3,4,green,651,us,0,5.194,22.0,mww,371.0,-17.1171,-176.545,,
6.8,6,7,green,824,us,0,0.312,69.0,mww,21.0,-28.013,-71.1958,,Chile
6.8,0,3,green,711,us,0,2.879,39.0,mww,540.0,-17.8735,-178.927,,Fiji
6.5,6,7,green,652,us,0,4.797,10.0,mww,9.0,-16.0315,168.143,,Vanuatu
6.5,0,6,green,650,us,317,0.0,14.2,mww,28.0,-6.598,148.174,,Papua New Guinea
6.9,9,7,yellow,1642,us,0,0.356,39.0,mww,28.0,-33.0375,-72.0617,,
6.5,5,3,green,739,us,0,3.276,26.0,mww,402.0,29.9377,138.833,,
6.5,0,6,,650,us,156,0.0,31.4,mwb,33.0,-3.828,152.174,,Papua New Guinea
6.6,0,5,,670,us,475,0.0,26.2,mwb,113.7,-19.262,168.892,,
6.7,0,7,,691,us,643,0.0,24.5,mwb,10.0,50.211,87.721,Asia,Russia
7.0,0,6,,754,us,0,0.0,0.0,mwc,33.0,-6.351,148.763,,Papua New Guinea
7.0,6,7,green,820,us,0,1.671,18.0,mww,73.0,-7.847,147.755,,Papua New Guinea
6.6,8,8,,831,us,782,0.0,16.7,mwc,12.0,37.535,138.446,Asia,Japan
6.9,0,5,green,732,us,0,8.284,17.0,mww,9.97,-60.2627,-47.0621,,United Kingdom of Great Britain and Northern Ireland (the)
6.8,0,7,,711,us,431,0.0,38.4,mwc,40.2,-4.694,153.238,,Papua New Guinea
7.3,0,7,,820,us,667,0.0,24.5,mwb,16.0,50.038,87.813,Asia,Russia
6.6,0,6,,670,us,0,0.0,0.0,mwc,67.2,52.886,-169.123,North America,United States of America
7.5,8,5,green,1623,us,0,4.581,12.0,mww,19.0,17.4825,-83.52,,
8.1,9,8,,1025,us,439,0.0,14.7,mwc,24.0,-8.466,157.043,,Solomon Islands
6.8,0,5,,711,us,0,0.0,0.0,mwc,144.3,-21.632,-176.376,,
6.5,0,4,,650,us,0,0.0,0.0,mwb,176.4,13.849,-88.808,,El Salvador
6.5,0,6,,650,us,71,0.0,0.0,mb,33.0,-4.827,153.226,,Papua New Guinea
6.6,0,5,,670,us,0,0.0,0.0,mwb,151.6,-8.194,112.413,,Indonesia
7.0,4,7,,768,us,537,0.0,23.1,mwc,22.0,-2.13,99.627,,Indonesia
6.9,0,6,,732,us,117,0.0,0.0,mwb,28.0,-4.022,101.776,,Indonesia
6.5,0,6,,650,us,405,0.0,48.4,mwb,33.0,8.416,-82.824,,Panama
6.5,0,6,green,650,us,0,3.787,16.0,mww,20.0,-6.7878,154.95,,
6.6,0,7,,670,us,0,0.0,0.0,mwc,10.0,30.568,131.093,Asia,Japan
7.7,7,4,,931,us,507,0.0,10.8,mwc,18.6,38.058,144.59,,
6.5,7,7,yellow,664,us,0,0.283,56.0,mww,9.0,-42.6058,173.254,,New Zealand
7.8,0,9,,936,us,368,0.0,0.0,mwc,10.0,35.946,90.541,Asia,People's Republic of China
6.6,0,7,green,670,us,697,0.0,15.3,mww,11.0,67.631,142.508,Asia,Russia
6.5,0,5,,650,us,322,0.0,15.0,mwc,35.0,-18.308,168.156,,
7.1,9,8,orange,1612,us,0,3.085,11.0,mww,43.98,37.6856,141.992,,
6.7,5,6,,717,us,656,0.0,21.2,mwc,19.0,-1.644,99.607,,Indonesia
7.1,9,8,,1686,us,0,0.984,23.0,mww,48.0,18.5499,-98.4887,North America,Mexico
7.9,0,5,,960,us,405,0.0,0.0,mwc,10.0,-13.802,97.453,,
6.5,8,5,,692,us,650,0.0,30.7,mwc,28.0,36.345,21.863,Europe,
6.7,7,6,,934,us,769,0.0,19.7,mwb,66.0,36.311,23.212,Europe,Greece
6.5,0,5,green,650,us,0,0.778,30.0,mwc,10.0,-29.9379,-177.516,,
6.8,0,6,,711,us,0,0.0,0.0,mwb,18.3,17.6,-100.965,North America,Mexico
7.0,0,7,,754,us,0,0.0,0.0,mwc,70.0,18.386,-97.436,North America,Mexico
8.2,9,7,red,2910,us,0,0.944,22.0,mww,47.39,15.0222,-93.8993,,
7.6,0,7,,889,us,551,0.0,0.0,mwb,24.0,18.77,-104.104,North America,Mexico
6.5,3,6,,651,us,358,0.0,20.7,mwb,21.0,2.164,96.786,,Indonesia
6.7,5,7,green,718,us,0,0.853,35.0,mww,23.0,-31.5173,-71.804,,Chile
7.1,8,7,,1023,us,744,0.0,29.1,mwb,10.0,21.799,120.547,Asia,Taiwan
6.5,0,4,green,650,us,0,1.709,21.0,mww,41.54,-30.9255,-178.323,,
7.6,0,9,,889,us,0,0.0,0.0,mwc,17.0,40.748,29.864,Asia,Turkey
7.1,5,5,,782,us,585,0.0,14.7,mwc,10.0,-46.676,164.721,,
7.1,4,6,green,779,us,0,1.397,18.0,mww,45.0,1.8929,126.522,,Indonesia
7.9,9,7,yellow,972,us,0,1.389,13.0,mww,94.54,-4.5049,153.522,,Papua New Guinea
6.5,0,5,,650,us,586,0.0,71.3,mwc,25.0,42.45,144.38,,
7.8,7,8,,1152,duputel,0,0.0,0.0,mww,40.5,-2.52,100.139,Asia,Indonesia
8.0,9,8,,1385,us,625,0.0,25.7,mwc,39.0,-13.386,-76.603,,Peru
6.9,8,7,green,780,us,0,1.192,17.0,mww,29.95,0.4947,-79.616,South America,Ecuador
6.5,7,5,green,694,us,0,3.121,33.0,mww,10.0,7.2096,-82.3045,,
7.6,0,7,green,889,us,0,2.828,13.0,mww,22.56,-11.2701,162.148,,
6.5,8,8,yellow,1153,us,0,0.225,37.0,mww,19.36,9.5147,-84.4865,,Costa Rica
6.8,0,6,,711,us,0,0.0,0.0,mwc,19.0,-30.058,-71.872,,
6.6,0,6,,670,us,386,0.0,0.0,mwc,10.0,-17.664,168.004,,Vanuatu
6.7,0,7,,691,us,518,0.0,26.9,mww,29.0,-32.625,-71.365,South America,Chile
7.0,4,6,green,760,us,0,1.362,12.0,mww,552.06,-7.2968,122.535,,Indonesia
6.6,7,6,,897,us,518,0.0,37.2,mww,166.2,17.208,-94.338,,Mexico
6.9,0,7,,732,us,305,0.0,15.3,mwc,10.0,-7.306,155.741,,Solomon Islands
7.2,0,6,,798,us,0,0.0,0.0,mwc,44.0,-6.518,154.999,,Papua New Guinea
6.7,0,6,,691,us,0,0.0,0.0,mwb,33.0,0.207,119.584,,Indonesia
6.6,0,6,,670,us,0,0.0,0.0,mwc,22.8,-3.562,144.362,,Papua New Guinea
7.7,8,7,,995,us,610,0.0,22.4,mwc,40.0,-22.247,-69.89,South America,Chile
6.5,0,7,,650,us,462,0.0,0.0,mwc,17.0,7.042,-77.829,,Colombia
7.5,6,5,,874,us,570,0.0,21.6,mwc,22.0,1.065,126.282,,Indonesia
6.5,0,6,,650,us,268,0.0,0.0,mwc,33.0,40.167,49.954,Asia,Azerbaijan
6.8,3,6,,713,us,338,0.0,15.0,mwc,15.4,-9.019,157.551,,
7.3,0,9,,820,us,0,0.0,0.0,mwb,10.0,33.825,59.809,Asia,Iran
7.8,6,8,,1165,us,434,0.0,16.8,mwc,12.0,-45.762,166.562,,New Zealand
6.6,1,3,green,670,us,0,8.865,19.0,mww,7.0,-60.1023,-24.4608,,Antarctica
6.6,7,7,green,678,us,0,2.353,18.0,mww,12.0,-1.2923,120.431,,Indonesia
6.7,0,4,,691,us,457,0.0,30.2,mwb,206.3,-14.252,167.259,,Vanuatu
6.9,7,5,green,747,us,0,1.205,21.0,mww,35.0,0.5126,126.189,,Indonesia
7.0,8,8,,1245,us,365,0.0,15.8,mwc,12.0,-43.522,171.83,,New Zealand
7.0,8,7,green,768,us,117,0.509,17.0,mww,14.0,-9.7963,159.596,Oceania,Solomon Islands
6.9,4,5,,740,us,399,0.0,12.1,mwc,21.0,-10.878,161.116,,
