magnitude,cdi,mmi,alert,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,continent,country
6.8,6,6,yellow,1034,us,0,1.065,38.0,mww,38.12,13.7174,-90.9718,,
7.1,0,7,,776,us,0,0.0,0.0,mwc,73.7,-4.751,152.486,,Papua New Guinea
6.9,9,6,green,741,us,0,1.487,18.0,mww,35.0,-5.5321,151.5,,Papua New Guinea
7.1,0,5,,776,us,569,0.0,18.1,mwb,201.7,-6.527,129.933,,Indonesia
6.8,1,5,green,711,us,0,3.619,18.0,mww,10.0,-11.1093,163.215,,
6.5,4,5,,683,us,464,0.0,48.8,mwc,29.0,38.089,142.122,,
6.8,5,5,green,727,us,0,4.852,21.0,mww,10.0,-15.3197,-173.168,,
7.0,0,7,,754,us,60,0.0,0.0,mwc,50.0,-4.766,153.945,,Papua New Guinea
7.0,0,7,,754,us,0,0.0,0.0,mwc,10.0,-2.961,141.926,,Papua New Guinea
6.6,0,7,,670,us,0,0.0,0.0,mwc,33.0,28.343,57.193,Asia,Iran
7.3,5,5,,994,us,417,0.0,37.0,mww,28.0,12.139,-88.59,,
7.3,8,6,yellow,982,us,0,1.078,18.0,mww,40.0,12.5262,-88.1225,,
6.8,1,4,green,711,us,0,4.395,15.0,mww,11.0,-10.8759,164.169,,
7.2,5,7,green,804,us,770,0.0,10.1,mww,110.0,46.221,150.788,Asia,Russia
6.5,0,7,,650,us,0,0.0,0.0,mwc,17.0,23.738,121.158,Asia,Taiwan
6.5,5,6,,653,us,576,0.0,11.7,mww,41.0,-4.651,153.173,,Papua New Guinea
7.2,8,6,green,804,us,85,2.59,24.0,mww,167.404,-22.9824,-177.208,,
6.8,6,6,green,947,us,0,0.817,35.0,mww,25.0,-34.2364,-72.3102,,
6.7,5,5,,776,us,352,0.0,50.3,mwc,13.0,24.696,-109.156,,
6.6,8,5,green,692,us,0,1.98,44.0,mww,9.45,26.0913,-110.321,,
7.9,0,8,,960,us,379,0.0,0.0,mwc,33.0,-4.721,102.087,,Indonesia
7.4,0,6,green,842,us,626,0.0,16.0,mww,173.7,-23.009,-177.232,,
6.9,0,5,,732,us,733,0.0,26.7,mwb,174.8,55.492,159.999,Asia,Russia
6.9,7,7,,1280,us,415,0.0,12.5,mwc,11.0,-34.29,-71.891,South America,Chile
6.9,6,6,green,761,us,0,0.784,32.0,mww,12.0,-29.5067,-72.0068,,
7.1,5,7,,780,us,377,0.0,15.0,mwc,10.0,-8.783,157.354,,Solomon Islands
7.1,0,7,,776,us,0,0.0,0.0,mwc,42.0,-23.913,-70.207,South America,Chile
6.6,5,7,,672,us,282,0.0,16.6,mwc,10.0,-8.726,157.487,,Solomon Islands
6.5,0,6,,650,us,0,0.0,0.0,mwc,69.1,-6.485,147.408,,Papua New Guinea
6.5,0,6,,650,us,646,0.0,0.0,mwc,21.0,13.036,93.068,,India
6.7,9,7,,1551,us,572,0.0,11.1,mww,11.0,9.999,123.206,,Philippines
6.8,0,6,,711,us,0,0.0,0.0,mwc,33.0,34.556,32.126,Asia,
6.5,0,6,,650,us,481,0.0,0.0,mwc,45.8,18.198,-102.48,North America,Mexico
6.6,3,5,green,674,us,0,0.788,29.0,mww,22.0,-21.6484,168.859,,
6.5,7,9,,1390,nc,65,0.04685,71.0,mw,8.382,35.7005,-121.101,North America,United States of America
6.8,5,6,,858,us,639,0.0,21.8,mwb,10.0,18.958,-81.409,,
6.7,5,6,green,696,us,0,1.507,15.0,mww,40.0,-5.5024,151.402,,Papua New Guinea
6.9,8,6,green,995,ak,0,0.0,0.0,mww,51.6,56.2581,-156.492,North America,United States of America
6.5,9,7,green,733,us,0,0.428,19.0,mww,10.0,6.9098,125.178,,Philippines
6.7,2,3,green,691,us,0,2.033,19.0,mww,602.75,-9.1825,-71.2574,South America,Brazil
